Date	Name	URL
"April 14th, 2016"	"Democratic Candidates Debate in Brooklyn, New York"	http://www.presidency.ucsb.edu/ws/index.php?pid=116995
"March 9th, 2016"	"Democratic Candidates Debate in Miami, Florida"	http://www.presidency.ucsb.edu/ws/index.php?pid=112719
"March 6th, 2016"	"Democratic Candidates Debate in Flint, Michigan"	http://www.presidency.ucsb.edu/ws/index.php?pid=112718
"February 11th, 2016"	"Democratic Candidates Debate in Milwaukee, Wisconsin"	http://www.presidency.ucsb.edu/ws/index.php?pid=111520
"February 4th, 2016"	"Democratic Candidates Debate in Durham, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=111471
"January 17th, 2016"	"Democratic Candidates Debate in Charleston, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=111409
"December 19th, 2015"	"Democratic Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=111178
"November 14th, 2015"	"Democratic Candidates Debate in Des Moines, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=110910
"October 13th, 2015"	"Democratic Candidates Debate in Las Vegas, Nevada"	http://www.presidency.ucsb.edu/ws/index.php?pid=110903
"March 10th, 2016"	"Republican Candidates Debate in Miami, Florida"	http://www.presidency.ucsb.edu/ws/index.php?pid=115148
"March 3rd, 2016"	"Republican Candidates Debate in Detroit, Michigan"	http://www.presidency.ucsb.edu/ws/index.php?pid=111711
"February 25th, 2016"	"Republican Candidates Debate in Houston, Texas"	http://www.presidency.ucsb.edu/ws/index.php?pid=111634
"February 13th, 2016"	"Republican Candidates Debate in Greenville, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=111500
"February 6th, 2016"	"Republican Candidates Debate in Manchester, New Hampshire"	http://www.presidency.ucsb.edu/ws/index.php?pid=111472
"January 28th, 2016"	"Republican Candidates Debate in Des Monies, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=111412
"January 14th, 2016"	"Republican Candidates Debate in North Charleston, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=111395
"December 15th, 2015"	"Republican Candidates Debate in Las Vegas, Nevada"	http://www.presidency.ucsb.edu/ws/index.php?pid=111177
"November 10th, 2015"	"Republican Candidates Debate in Milwaukee, Wisconsin"	http://www.presidency.ucsb.edu/ws/index.php?pid=110908
"October 28th, 2015"	"Republican Candidates Debate in Boulder, Colorado"	http://www.presidency.ucsb.edu/ws/index.php?pid=110906
"September 16th, 2015"	"Republican Candidates Debate in Simi Valley, California"	http://www.presidency.ucsb.edu/ws/index.php?pid=110756
"August 6th, 2015"	"Republican Candidates Debate in Cleveland, Ohio"	http://www.presidency.ucsb.edu/ws/index.php?pid=110489
"January 28th, 2016"	"Republican Candidates ""Undercard"" Debate in Des Moines, Iowa"	http://www.presidency.ucsb.edu/ws/index.php?pid=111413
"January 14th, 2016"	"Republican Candidates ""Undercard"" Debate in North Charleston, South Carolina"	http://www.presidency.ucsb.edu/ws/index.php?pid=111394
"December 15th, 2015"	"Republican Candidates ""Undercard"" Debate in Las Vegas, Nevada"	http://www.presidency.ucsb.edu/ws/index.php?pid=111176
